Sample	Ctcf_E	Dnase1_E	H3k27ac_E	H3k27me3_E	H3k36me3_E	H3k4me2_E	H3k9ac_E	H4k20me1_E	Rad21_E	Tbp_E	Ctcf_P	Dnase1_P	H3k27ac_P	H3k27me3_P	H3k36me3_P	H3k4me2_P	H3k9ac_P	H4k20me1_P	Rad21_P	Tbp_P	Correlation	Exp	Class
chr1_100270000_100275000-chr1_100500000_100505000	1	0	1	0	0	1	1	0	1	0	1	1	1	0	1	1	1	0	1	1	0.687995	0.789042	1
chr1_100275000_100280000-chr1_100500000_100505000	0	0	1	0	0	1	1	0	0	0	1	1	1	0	1	1	1	0	1	1	0.546768	0.789042	1
chr1_101330000_101335000-chr1_100950000_100955000	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0.166655	0	1
chr1_101345000_101350000-chr1_100950000_100955000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.111111	0	1
chr1_108665000_108670000-chr1_108325000_108330000	1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0.705544	0	1
chr1_110070000_110075000-chr1_109790000_109795000	1	1	0	1	0	1	1	0	1	0	1	1	1	0	1	1	1	0	0	0	0.600646	0.244787	1
chr1_110070000_110075000-chr1_110035000_110040000	1	1	0	1	0	1	1	0	1	0	1	1	1	0	1	1	1	0	1	1	0.444014	0.375413	1
chr1_110180000_110185000-chr1_110300000_110305000	1	1	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0.145481	0.001675	1
chr1_110180000_110185000-chr1_110305000_110310000	1	1	0	0	0	1	1	0	1	0	0	1	1	1	0	1	1	0	0	0	0.0990132	0.001675	1
chr1_110180000_110185000-chr1_110525000_110530000	1	1	0	0	0	1	1	0	1	0	1	1	1	0	1	1	1	0	1	1	0.617257	1.70154	1
chr1_110180000_110185000-chr1_110545000_110550000	1	1	0	0	0	1	1	0	1	0	0	0	1	0	1	1	1	0	0	0	0.216665	1.70154	1
chr1_110185000_110190000-chr1_110300000_110305000	1	1	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0.00750603	0.001675	1
chr1_110185000_110190000-chr1_110305000_110310000	1	1	0	0	0	1	1	0	1	0	0	1	1	1	0	1	1	0	0	0	0.0762929	0.001675	1
chr1_110185000_110190000-chr1_110525000_110530000	1	1	0	0	0	1	1	0	1	0	1	1	1	0	1	1	1	0	1	1	0.660916	1.70154	1
chr1_110185000_110190000-chr1_110545000_110550000	1	1	0	0	0	1	1	0	1	0	0	0	1	0	1	1	1	0	0	0	-0.0232057	1.70154	1
chr1_110310000_110315000-chr1_110190000_110195000	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0.27279	0.000804	1
chr1_110310000_110315000-chr1_110195000_110200000	0	0	0	1	0	0	1	0	0	0	1	1	1	0	0	1	1	0	0	1	0.00589725	0.784694	1
chr1_110315000_110320000-chr1_110085000_110090000	1	1	0	1	0	0	0	0	1	0	1	1	1	1	0	1	1	0	1	0	0.343294	1.70524	1
chr1_110315000_110320000-chr1_110190000_110195000	1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0.621364	0.000804	1
chr1_110315000_110320000-chr1_110195000_110200000	1	1	0	1	0	0	0	0	1	0	1	1	1	0	0	1	1	0	0	1	0.0425163	0.784694	1
chr1_110315000_110320000-chr1_110525000_110530000	1	1	0	1	0	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	0.0963373	1.70154	1
chr1_110320000_110325000-chr1_110190000_110195000	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0.186351	0.000804	1
chr1_110320000_110325000-chr1_110195000_110200000	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0.433608	0.784694	1
chr1_110535000_110540000-chr1_110190000_110195000	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0.279305	0.000804	1
chr1_110535000_110540000-chr1_110195000_110200000	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	0	0	1	-0.545327	0.784694	1
chr1_110745000_110750000-chr1_110995000_111000000	1	1	0	1	0	0	0	1	1	0	1	1	0	1	0	0	0	0	1	0	0.889831	0.000929	1
chr1_111005000_111010000-chr1_110575000_110580000	0	0	0	0	0	0	1	0	0	0	1	1	1	0	1	1	1	0	0	1	0.51934	0.500316	1
chr1_111005000_111010000-chr1_110580000_110585000	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0.111111	0.500316	1
chr1_111005000_111010000-chr1_110585000_110590000	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0.111111	0.500316	1
chr1_111005000_111010000-chr1_110590000_110595000	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0.163787	0.500316	1
chr1_111010000_111015000-chr1_110575000_110580000	1	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	1	0	0	1	-0.492747	0.500316	1
chr1_111010000_111015000-chr1_110580000_110585000	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0.166655	0.500316	1
chr1_111010000_111015000-chr1_110585000_110590000	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0.166655	0.500316	1
chr1_111010000_111015000-chr1_110590000_110595000	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0.270396	0.500316	1
chr1_111015000_111020000-chr1_110575000_110580000	1	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0	1	-0.376922	0.500316	1
chr1_111015000_111020000-chr1_110580000_110585000	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.143632	0.500316	1
chr1_111015000_111020000-chr1_110585000_110590000	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.143632	0.500316	1
chr1_111015000_111020000-chr1_110590000_110595000	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0.460154	0.500316	1
chr1_111320000_111325000-chr1_111170000_111175000	1	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0.996271	0.000119	1
