Sample	Ctcf_E	Dnase1_E	H3k27ac_E	H3k27me3_E	H3k36me3_E	H3k4me2_E	H3k9ac_E	H4k20me1_E	Rad21_E	Tbp_E	Ctcf_P	Dnase1_P	H3k27ac_P	H3k27me3_P	H3k36me3_P	H3k4me2_P	H3k9ac_P	H4k20me1_P	Rad21_P	Tbp_P	Correlation	Exp	Class
chr1_100270000_100275000-chr1_100500000_100505000	1	1	1	0	0	1	1	0	1	0	1	1	1	0	0	1	1	0	1	1	0.895904	1.33465	1
chr1_100270000_100275000-chr1_100605000_100610000	1	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	-0.389001	0.472462	1
chr1_100275000_100280000-chr1_100605000_100610000	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0.20668	0.472462	1
chr1_104055000_104060000-chr1_103570000_103575000	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0.784948	0	1
chr1_1055000_1060000-chr1_1180000_1185000	1	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	-0.299211	0.000523	1
chr1_10570000_10575000-chr1_11005000_11010000	1	1	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	-0.402683	0.00753	1
chr1_10575000_10580000-chr1_11005000_11010000	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.266621	0.00753	1
chr1_107500000_107505000-chr1_107680000_107685000	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0.608349	0	1
chr1_110070000_110075000-chr1_109805000_109810000	1	1	1	0	0	1	1	0	1	1	1	1	0	0	0	0	0	0	1	0	0.63215	0.001056	1
chr1_110070000_110075000-chr1_109955000_109960000	1	1	1	0	0	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	-0.439066	4.28629	1
chr1_110070000_110075000-chr1_110035000_110040000	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	1	0	1	0	0.844898	0.287627	1
chr1_110315000_110320000-chr1_110085000_110090000	1	1	0	0	0	0	0	0	1	0	1	1	1	0	0	1	1	0	1	0	0.603436	1.54212	1
chr1_110745000_110750000-chr1_110995000_111000000	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0.666648	0.000115	1
chr1_111875000_111880000-chr1_111765000_111770000	1	1	1	0	0	1	0	0	1	0	1	1	1	0	0	1	1	0	1	0	0.693036	5.39505	1
chr1_113345000_113350000-chr1_112935000_112940000	1	1	0	1	0	0	0	0	1	0	1	1	1	0	0	1	1	0	1	0	0.388991	0.2838	1
chr1_113345000_113350000-chr1_113260000_113265000	1	1	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0.962897	0.1017	1
chr1_113585000_113590000-chr1_113260000_113265000	1	1	1	0	0	1	1	0	1	0	1	1	0	1	0	0	0	0	1	0	0.552145	0.1017	1
chr1_114375000_114380000-chr1_114445000_114450000	1	0	0	0	1	0	0	0	1	0	1	1	1	0	1	1	1	0	1	0	0.238523	0	1
